ENTIDAD,MUNICIPIO,POBTOT,POB_AFRO,POB_AFRO_F,POB_AFRO_M
2,1,1566,26,15,11
2,1,2024,187,98,89
2,1,2054,25,12,13
2,1,1375,20,9,11
2,1,2379,34,14,20
2,1,1381,45,22,23
2,1,1237,13,5,8
2,1,1011,0,0,0
2,1,1305,11,4,7
2,1,1284,7,3,4
2,1,1569,21,8,13
2,1,1577,26,13,13
2,1,2159,10,6,4
2,1,1693,17,8,9
2,1,4317,17,8,9
2,1,1493,20,9,11
2,1,975,14,7,7
2,1,950,8,4,4
2,1,1279,9,6,3
2,1,1633,16,5,11
2,1,2348,64,29,35
2,1,3449,41,14,27
2,1,1966,14,7,7
2,1,1659,7,2,5
2,1,1187,2,2,0
2,1,1308,22,12,10
2,1,2014,52,21,31
2,1,1139,8,3,5
2,1,2404,23,10,13
2,1,1181,22,11,11
2,1,1064,6,3,3
2,1,2106,24,6,18
2,1,1839,27,5,22
2,1,2334,54,24,30
2,1,2361,98,38,60
2,1,1671,16,6,10
2,1,3254,49,23,26
2,1,1221,9,4,5
2,1,2737,35,14,21
2,1,1012,5,3,2
2,1,1174,12,5,7
2,1,2265,26,9,17
2,1,2274,36,18,18
2,1,2253,11,9,2
2,1,8491,174,79,95
2,1,919,8,4,4
2,1,767,17,7,10
2,1,1640,10,4,6
2,1,1570,4,3,1
2,1,1486,20,11,9
2,1,2526,3,1,2
2,1,3608,39,19,20
2,1,1263,11,7,4
2,1,2827,50,13,37
2,1,2628,52,22,30
2,1,4609,34,18,16
2,1,2239,36,24,12
2,1,584,9,4,5
2,1,1441,12,5,7
2,1,1369,29,15,14
2,1,3640,70,38,32
2,1,1160,68,36,32
2,1,1196,17,6,11
2,1,1691,16,6,10
2,1,1840,20,5,15
2,1,597,85,33,52
2,1,651,24,12,12
2,1,605,33,14,19
2,1,1891,12,7,5
2,1,566,1,1,0
2,1,2745,521,275,246
2,1,2751,27,7,20
2,1,823,2,1,1
2,1,3727,6,3,3
2,1,29029,515,245,270
2,1,2993,39,19,20
2,1,415,0,0,0
2,1,2935,88,31,57
2,1,16236,250,111,139
2,1,1752,31,17,14
2,1,8832,52,21,31
2,1,916,49,20,29
2,1,766,13,2,11
2,1,1870,27,15,12
2,1,1239,11,4,7
2,1,2024,3,0,3
2,1,479,1,1,0
2,1,8797,12,3,9
2,1,8967,93,48,45
2,1,9798,350,165,185
2,1,4602,18,11,7
2,1,13003,138,57,81
2,1,4072,160,70,90
2,1,2829,155,76,79
2,1,10652,270,137,133
2,1,507,7,3,4
2,1,8549,175,79,96
2,1,9316,162,78,84
2,1,1710,4,1,3
2,1,5519,22,3,19
2,1,573,0,0,0
2,1,3221,30,10,20
2,1,304,3,1,2
2,1,588,560,260,300
2,1,842,3,1,2
2,1,1163,1103,521,582
2,1,154,137,48,89
2,1,768,0,0,0
2,1,929,4,3,1
2,1,1511,18,10,8
2,1,9927,167,79,88
2,1,1252,180,93,87
2,2,873,17,7,10
2,2,559,8,2,6
2,2,484,4,2,2
2,2,628,7,3,4
2,2,472,7,1,6
2,2,725,34,5,29
2,2,243,11,4,7
2,2,311,67,26,41
2,2,262,103,51,52
2,2,158,8,1,7
2,2,612,19,8,11
2,2,638,11,4,7
2,2,689,1,0,1
2,2,820,1,0,1
2,2,862,5,4,1
2,2,546,1,1,0
2,2,344,5,0,5
2,2,668,48,12,36
2,2,413,5,0,5
2,2,512,13,5,8
2,2,728,17,6,11
2,2,586,4,3,1
2,2,599,3,0,3
2,2,465,2,0,2
2,2,634,7,3,4
2,2,539,17,8,9
2,2,730,20,8,12
2,2,585,25,7,18
2,2,539,21,7,14
2,2,623,18,12,6
2,2,932,5,2,3
2,2,911,4,2,2
2,2,813,0,0,0
2,2,627,5,5,0
2,2,1161,11,7,4
2,2,3758,13,6,7
2,2,1096,134,58,76
2,2,670,10,2,8
2,2,484,5,2,3
2,2,448,15,4,11
2,2,598,9,5,4
2,2,730,23,7,16
2,2,577,10,8,2
2,2,818,432,206,226
2,2,830,144,64,80
2,2,705,54,24,30
2,2,947,8,2,6
2,2,542,6,1,5
2,2,551,12,8,4
2,2,777,9,5,4
2,2,583,28,12,16
2,2,644,4,2,2
2,2,544,9,4,5
2,2,1169,3,1,2
2,2,229,11,6,5
2,2,623,10,4,6
2,2,841,11,8,3
2,2,219,0,0,0
2,2,901,5,2,3
2,2,1432,9,4,5
2,2,1112,5,3,2
2,2,742,2,1,1
2,2,715,3,1,2
2,2,754,1,1,0
2,2,822,5,3,2
2,2,711,8,5,3
2,2,884,11,4,7
2,2,443,0,0,0
2,2,905,15,8,7
2,2,711,3,1,2
2,2,731,9,5,4
2,2,870,7,2,5
2,2,814,12,5,7
2,2,762,9,6,3
2,2,732,3,2,1
2,2,951,13,9,4
2,2,765,11,6,5
2,2,417,8,3,5
2,2,685,1,1,0
2,2,281,0,0,0
2,2,909,4,2,2
2,2,979,7,3,4
2,2,1852,12,9,3
2,2,699,34,17,17
2,2,370,11,6,5
2,2,538,1,1,0
2,2,1043,20,9,11
2,2,788,9,4,5
2,2,1047,1,1,0
2,2,586,9,3,6
2,2,701,3,1,2
2,2,689,3,1,2
2,2,744,7,2,5
2,2,1281,1,0,1
2,2,2112,52,24,28
2,2,1045,13,4,9
2,2,924,4,3,1
2,2,1055,15,9,6
2,2,579,6,3,3
2,2,1047,13,6,7
2,2,598,5,3,2
2,2,933,42,20,22
2,2,1037,59,30,29
2,2,1199,2,1,1
2,2,1204,1,1,0
2,2,992,4,0,4
2,2,859,37,18,19
2,2,739,0,0,0
2,2,1268,11,6,5
2,2,1024,9,6,3
2,2,898,4,2,2
2,2,806,6,4,2
2,2,1147,4,2,2
2,2,1377,15,8,7
2,2,763,46,25,21
2,2,1684,19,8,11
2,2,2097,11,3,8
2,2,1017,3,1,2
2,2,1320,11,4,7
2,2,1449,13,5,8
2,2,2524,9,3,6
2,2,1221,35,16,19
2,2,4354,77,34,43
2,2,1380,23,12,11
2,2,1510,8,4,4
2,2,493,1,0,1
2,2,779,1,1,0
2,2,1192,6,4,2
2,2,4068,47,19,28
2,2,1447,31,16,15
2,2,1510,10,6,4
2,2,1793,26,13,13
2,2,791,59,28,31
2,2,820,11,4,7
2,2,687,49,26,23
2,2,11900,142,73,69
2,2,1805,14,5,9
2,2,1602,10,4,6
2,2,971,1,0,1
2,2,1875,4,2,2
2,2,2342,32,20,12
2,2,1197,6,1,5
2,2,988,12,8,4
2,2,954,1,0,1
2,2,1317,14,8,6
2,2,6763,64,34,30
2,2,6774,69,31,38
2,2,1635,20,12,8
2,2,1322,9,4,5
2,2,1146,9,5,4
2,2,2019,7,2,5
2,2,1238,15,7,8
2,2,976,8,5,3
2,2,1429,8,3,5
2,2,1060,5,3,2
2,2,6120,87,40,47
2,2,1459,86,46,40
2,2,1597,16,6,10
2,2,1121,10,7,3
2,2,817,4,2,2
2,2,443,2,0,2
2,2,992,6,0,6
2,2,557,4,2,2
2,2,720,2,1,1
2,2,750,2,1,1
2,2,1821,11,4,7
2,2,1431,12,8,4
2,2,2687,22,8,14
2,2,1044,5,3,2
2,2,1105,4,3,1
2,2,765,2,0,2
2,2,1764,5,1,4
2,2,2585,11,5,6
2,2,867,8,3,5
2,2,1550,39,19,20
2,2,1247,11,7,4
2,2,788,5,1,4
2,2,1354,11,6,5
2,2,903,1,0,1
2,2,751,3,2,1
2,2,526,2,1,1
2,2,1471,2,1,1
2,2,1050,6,2,4
2,2,978,9,2,7
2,2,1075,7,3,4
2,2,1681,35,15,20
2,2,1093,26,13,13
